PlantSpecies,FungalGenus,PlantFamily,PLANTLIFEHISTORY,FUNGROUP,LOCATION,DOMESTICATED,Plant_Lat,Plant_Long,Fung_Lat,Fung_Long,Soil_Lat,Soil_Long
musa_aab,rhizophagus,musaceae,perennial,nonNwood,field,DOMESTICATED,NA,NA,NA,NA,NA,NA
musa_aab,NA,musaceae,perennial,nonNwood,field,DOMESTICATED,NA,NA,NA,NA,NA,NA
musa_aab,NA,musaceae,perennial,nonNwood,field,DOMESTICATED,NA,NA,NA,NA,NA,NA
cyclamen_persicum,NA,primulaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
euphorbia_pulcherrima,NA,euphorbiaceae,perennial,nonNwood,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
NA,NA,pinaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,pinaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,pinaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,pinaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,pinaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,pinaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
canavalia_ensiformis,claroideoglomus,fabaceae,perennial,Nfixforb,lab,FORAGECROP,NA,NA,NA,NA,NA,NA
canavalia_ensiformis,claroideoglomus,fabaceae,perennial,Nfixforb,lab,FORAGECROP,NA,NA,NA,NA,NA,NA
canavalia_ensiformis,claroideoglomus,fabaceae,perennial,Nfixforb,lab,FORAGECROP,NA,NA,NA,NA,NA,NA
canavalia_ensiformis,claroideoglomus,fabaceae,perennial,Nfixforb,lab,FORAGECROP,NA,NA,NA,NA,NA,NA
canavalia_ensiformis,rhizophagus,fabaceae,perennial,Nfixforb,lab,FORAGECROP,NA,NA,NA,NA,NA,NA
canavalia_ensiformis,rhizophagus,fabaceae,perennial,Nfixforb,lab,FORAGECROP,NA,NA,NA,NA,NA,NA
canavalia_ensiformis,rhizophagus,fabaceae,perennial,Nfixforb,lab,FORAGECROP,NA,NA,NA,NA,NA,NA
canavalia_ensiformis,rhizophagus,fabaceae,perennial,Nfixforb,lab,FORAGECROP,NA,NA,NA,NA,NA,NA
canavalia_ensiformis,glomus,fabaceae,perennial,Nfixforb,lab,FORAGECROP,NA,NA,NA,NA,NA,NA
canavalia_ensiformis,glomus,fabaceae,perennial,Nfixforb,lab,FORAGECROP,NA,NA,NA,NA,NA,NA
canavalia_ensiformis,glomus,fabaceae,perennial,Nfixforb,lab,FORAGECROP,NA,NA,NA,NA,NA,NA
canavalia_ensiformis,glomus,fabaceae,perennial,Nfixforb,lab,FORAGECROP,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
zea_mays,rhizophagus,poaceae,annual_biennial,C4grass,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
acer_platanoides,NA,sapindaceae,perennial,nonNwood,lab,WILD,NA,NA,NA,NA,NA,NA
NA,NA,salicaceae,perennial,nonNwood,lab,NA,52.24677,17.09013,52.24677,17.09013,NA,NA
callistephus_chinensis,NA,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
NA,NA,salicaceae,perennial,nonNwood,lab,NA,52.24677,17.09013,52.24677,17.09013,NA,NA
glycine_max,funneliformis,fabaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,52.283333,0.433333,37.17631,-3.599815
glycine_max,funneliformis,fabaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,52.283333,0.433333,37.17631,-3.599815
glycine_max,funneliformis,fabaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,52.283333,0.433333,37.17631,-3.599815
glycine_max,funneliformis,fabaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,52.283333,0.433333,37.17631,-3.599815
glycine_max,funneliformis,fabaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,52.283333,0.433333,37.17631,-3.599815
glycine_max,funneliformis,fabaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,52.283333,0.433333,37.17631,-3.599815
glycine_max,funneliformis,fabaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,52.283333,0.433333,37.17631,-3.599815
glycine_max,funneliformis,fabaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,52.283333,0.433333,37.17631,-3.599815
glycine_max,funneliformis,fabaceae,annual_biennial,Nfixforb,lab,DOMESTICATED,NA,NA,52.283333,0.433333,37.17631,-3.599815
